"tr_build_id","gh_project_name","NC","nbr_auth","NMF","NLR","NLA","CX","FT","TD","WD","CTM","AX","ACF","BT","openjdk6","openjdk7","oraclejdk7","oraclejdk8","BS3","prev_BS3","BS2","prev_BS2","BS1","prev_BS1","entropy","MysteryGuest","GeneralFixture","AssertionRoulette","IndirectTesting","SensitiveEquality","commit","LongMethod","LongParameterList","ComplexClass","Blob","LazyClass","AntiSingleto","BaseClassShouldBeAbstract","RefusedParentBequest","ManyFieldAttributesButNotComplex","SpaghettiCode","SpeculativeGenerality","LargeClass","gh_build_started_at","old_PB","BC","DLF","exist_test"
25088412,"julianhyde/optiq",1,1,2,82,104,"faible","test+src",12,"Tuesday","1",735,"daily","PUSH",1,0,1,1,0,0,0,0,0,0,0.0857426825355025,"1","0","1","1","0","ae4f2210502c4b30940baef096a91d422dffbeee",1,0,0,0,0,0,0,0,0,1,0,0,"2014-05-13 17:24:31",0,0,"",1
25097137,"julianhyde/optiq",1,1,8,29,26,"moy","other",15,"Tuesday","1",736,"daily","PUSH",1,0,1,1,1,0,1,0,1,0,0.981428389251809,"","","","","","54a6e86958dbb464865833f6d71038a26afeb6fb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-05-13 19:15:13",0,0,"",0
25097182,"julianhyde/optiq",1,1,8,24,24,"moy","other",15,"Tuesday","1",736,"daily","PUSH",1,0,1,1,0,0,0,0,0,0,0.962280729377004,"","","","","","afa8e1441bdf78d37683af890b4022e122cd3259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-05-13 19:15:44",1,0.1,"less_day",0
25107951,"julianhyde/optiq",1,1,5,32,151,"faible","test+src",17,"Tuesday","1",736,"daily","PUSH",1,0,1,1,0,0,0,0,0,0,0.775539211795791,"1","0","1","1","0","242b21bc9981dd35bdd7e9db6c1ee874fccdfc30",1,0,0,0,0,0,0,0,0,1,0,0,"2014-05-13 21:32:53",0,0.1,"less_day",1
25493121,"julianhyde/optiq",1,1,1,0,36,"faible","test+src",3,"Monday","1",741,"daily","PUSH",1,0,1,1,0,0,0,0,0,0,0,"1","0","1","1","0","5c33b737d96a305dcbefb1c6fee47ca3ad60ed34",0,0,0,0,0,0,0,0,0,1,0,0,"2014-05-19 07:03:55",0,0.1,"week_ago",1
25671498,"julianhyde/optiq",1,1,5,50,160,"faible","test+src",3,"Wednesday","1",743,"daily","PUSH",1,0,1,1,0,0,0,0,0,0,0.824528522421657,"1","0","1","1","0","5e0ba873f03b5c42e045ada0d4478652ddd64be8",1,1,0,1,0,0,0,0,0,1,0,0,"2014-05-21 07:44:23",0,0.1,"week_ago",1
25765107,"julianhyde/optiq",1,1,24,226,255,"moy","test+src+other",3,"Thursday","1",744,"daily","PUSH",1,0,1,1,0,0,0,0,0,0,0.727028644454049,"1","0","1","1","1","8ec7ef88c04231f8546c9734a2b35091ad471660",1,1,0,0,0,0,0,0,0,1,0,0,"2014-05-22 07:58:43",0,0.1,"more_week_ago",1
25858803,"julianhyde/optiq",1,1,2,1,6,"faible","src",6,"Friday","0",0,"other","PR",1,0,1,1,0,0,0,0,0,0,0.863120568566631,"1","0","1","1","1","6e50177b38eb22396ca9e39ab59898266d2cbcae",0,0,0,0,0,0,0,0,0,1,0,0,"2014-05-23 10:12:25",0,0.1,"more_week_ago",1
25899834,"julianhyde/optiq",1,1,2,8,8,"faible","src",15,"Friday","1",746,"daily","PUSH",1,0,1,1,0,0,0,0,0,0,0.896038232534557,"1","0","1","1","0","cafe4c65785b065e57b1790456e137aa758c0f40",1,0,0,0,0,0,0,0,0,1,0,0,"2014-05-23 19:46:31",0,0.1,"more_week_ago",1
25930653,"julianhyde/optiq",1,1,4,22,94,"faible","test+src",5,"Saturday","1",746,"daily","PUSH",1,0,1,1,0,1,0,1,0,1,0.946677248407974,"1","0","1","1","0","b3bdcd78ae1834fe07634ad47ded2d7b5ebdbdae",1,0,0,0,0,0,0,0,0,1,0,0,"2014-05-24 09:49:53",0,0.1,"more_week_ago",1
25996369,"julianhyde/optiq",1,1,4,2,390,"faible","test+src+other",12,"Sunday","1",747,"daily","PUSH",1,0,1,1,0,0,0,0,0,0,0.615999500797588,"1","0","1","1","0","e14f3f1fd33e7da878966f3a47b4f6c87ec892ca",1,1,0,0,0,0,0,0,0,1,0,0,"2014-05-25 16:09:22",0,0.1,"more_week_ago",1
26026536,"julianhyde/optiq",1,1,4,137,526,"faible","test+src+other",2,"Monday","1",748,"daily","PUSH",1,0,1,1,0,0,0,0,0,0,0.5407259792957,"1","0","1","1","0","48aae24cb7ddb8f5df33d3f76b9c4b468cb818de",1,0,0,0,0,0,0,0,0,1,0,0,"2014-05-26 06:44:07",0,0.1,"more_week_ago",1
26029827,"julianhyde/optiq",1,1,3,191,268,"faible","test+src+other",3,"Monday","1",748,"daily","PUSH",1,0,1,1,0,1,0,0,0,1,0.978940600912987,"1","0","1","1","0","2ed8da6183e1ad435a3631a5f6bdfe95dad6d31d",1,0,0,0,0,0,0,0,0,1,0,0,"2014-05-26 07:54:03",0,0,"more_week_ago",1
26251166,"julianhyde/optiq",2,19,21,393,792,"moy","test+src+other",16,"Wednesday","1",751,"daily","PUSH",1,0,1,1,0,0,0,0,0,0,0.269040589020972,"1","0","1","1","1","8157acaf1c9e3a7fa72b8bb353572261aa333d5a",1,1,0,0,0,0,0,0,0,1,0,0,"2014-05-28 20:53:32",0,0,"more_week_ago",1
26256082,"julianhyde/optiq",3,19,29,431,901,"moy","test+src+other",17,"Wednesday","0",751,"daily","PUSH",1,0,1,1,0,0,0,0,0,0,0.38131421153271,"1","0","1","1","1","ef2a54c8620751c56059dfb89e9b080ece516ef6",1,1,0,0,0,0,0,0,0,1,0,0,"2014-05-28 21:55:37",0,0,"more_week_ago",1
27261682,"julianhyde/optiq",2,19,31,433,971,"faible","test+src",18,"Tuesday","1",764,"daily","PUSH",1,0,1,1,1,0,0,0,1,0,0,"1","0","1","1","1","21106458d96c514df85531e5d795102abf0b2151",0,0,0,0,0,0,0,0,0,1,0,0,"2014-06-10 22:05:35",0,0,"more_week_ago",1
27262592,"julianhyde/optiq",1,1,1,1,1,"faible","src",18,"Tuesday","1",764,"daily","PUSH",1,0,1,1,0,1,0,0,0,1,0,"1","0","1","1","1","cb08d2f8f1df322d519d2a6b0ee2d47a08ec209e",0,0,0,0,0,0,0,0,0,0,0,0,"2014-06-10 22:20:03",0,0,"more_week_ago",1
27338082,"julianhyde/optiq",1,1,2,10,22,"faible","src+other",14,"Wednesday","1",765,"daily","PUSH",1,0,1,1,0,1,0,0,0,1,0.896038232534557,"","","","","","08533094986a6dd81be61def722be53d64cdf8c0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-06-11 18:58:42",0,0,"more_week_ago",0
27894608,"julianhyde/optiq",1,1,2,2,3,"faible","src+other",15,"Wednesday","1",772,"daily","PUSH",1,0,1,1,0,0,0,0,0,0,0.721928094887362,"","","","","","f256dbfb31c1a4dbbfcfb6302460cdee1dd90389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-06-18 19:29:12",0,0,"more_week_ago",0
27920628,"julianhyde/optiq",1,1,6,0,338,"faible","test+src+other",22,"Wednesday","1",772,"daily","PUSH",1,0,1,1,1,1,1,0,1,1,0.725259326504249,"1","0","1","1","0","1f522d9989b07ff31d3853009fe57eaad1dc49a3",0,0,0,0,1,0,0,0,0,1,0,0,"2014-06-19 02:05:07",0,0,"more_week_ago",1
27935339,"julianhyde/optiq",1,1,2,5,6,"faible","test+src",4,"Thursday","0",113,"daily","PUSH",1,0,1,1,0,1,0,1,0,1,0.845350936622437,"0","0","0","0","0","4e11c14bd14de8a82a4070abd6ef20de625bec7c",0,0,0,0,0,0,0,0,0,1,0,0,"2014-06-19 08:19:15",1,0.1,"less_day",1
27977065,"julianhyde/optiq",1,1,47,1266,3453,"high","test+src+other",4,"Thursday","0",113,"daily","PUSH",1,0,1,1,0,0,0,0,0,0,0.711200476187632,"1","0","1","1","1","ddad58826121d29362539f240ea32660811dc09b",1,1,0,0,1,0,0,0,0,1,0,0,"2014-06-19 17:48:15",0,0.1,"less_day",1
27980868,"julianhyde/optiq",6,19,122,5579,12718,"high","test+src+other",14,"Thursday","1",772,"daily","PUSH",1,0,1,1,0,0,0,0,0,0,0.352473136855007,"1","0","1","1","1","8506f14a8cce72600c814fefd807967c575899df",1,1,0,1,1,0,0,0,0,1,0,0,"2014-06-19 18:41:23",0,0.1,"less_day",1
28175740,"julianhyde/optiq",1,1,14,90,460,"moy","test+src+other",14,"Sunday","0",116,"daily","PUSH",1,0,1,1,0,0,0,0,0,0,0.689531714029266,"1","0","1","1","1","90d0d79ec253af65c0c06323f43a90a672e0e73f",1,1,0,0,0,0,0,0,0,1,0,0,"2014-06-22 19:50:59",0,0.1,"week_ago",1
28200477,"julianhyde/optiq",2,19,21,101,548,"moy","test+src+other",0,"Monday","0",776,"daily","PUSH",1,0,1,1,0,0,0,0,0,0,0.587187145139094,"1","0","1","1","0","347eabdd6ea600bcd17df607bdae90ea57ea221a",0,1,0,0,0,0,0,0,0,1,0,0,"2014-06-23 06:53:08",0,0.1,"week_ago",1
28200750,"julianhyde/optiq",1,1,7,19,119,"faible","test+src+other",2,"Monday","0",117,"daily","PUSH",1,0,1,1,0,0,0,0,0,0,0.82319256319669,"1","0","1","1","1","4621db7e4ee80dd84b14d448d05c093abb8a82f1",1,1,0,0,0,0,0,0,0,1,0,0,"2014-06-23 07:00:49",0,0.1,"week_ago",1
28204292,"julianhyde/optiq",2,19,16,197,413,"moy","test+src+other",4,"Monday","1",776,"daily","PUSH",1,0,1,1,0,0,0,0,0,0,0.411609441570475,"1","0","1","1","0","e34e6e12006b7a6f6fa16c610961089b3c3c3778",1,1,0,1,0,0,0,0,0,1,0,0,"2014-06-23 08:14:48",0,0.1,"week_ago",1
28632554,"julianhyde/optiq",1,1,31,566,1438,"moy","test+src",22,"Tuesday","0",119,"daily","PUSH",1,0,1,1,0,0,0,0,0,0,0.862077610506973,"1","0","1","1","1","99f3968285d5e7c7c50d6d1fc01e3f3aa5486e62",1,1,0,0,1,0,0,0,0,1,0,0,"2014-06-27 22:37:27",0,0.1,"more_week_ago",1
28633429,"julianhyde/optiq",2,19,39,592,1594,"moy","test+src",18,"Friday","1",781,"daily","PUSH",1,0,1,1,1,0,1,0,1,0,0.581235632476164,"1","0","1","1","0","d940fa3090f3014fc91d1015648133207d6ee123",1,1,0,1,0,0,0,0,0,1,0,0,"2014-06-27 22:50:48",0,0.1,"more_week_ago",1
28635321,"julianhyde/optiq",1,1,1,1,1,"faible","test+src",19,"Friday","1",781,"daily","PUSH",1,0,1,1,1,1,1,1,1,1,0,"1","0","1","1","0","96a949f2ea24fa287bdb0b3fd4283ecff8812851",0,0,0,0,0,0,0,0,0,1,0,0,"2014-06-27 23:23:09",1,0.2,"less_day",1
28638135,"julianhyde/optiq",1,1,1,156,232,"faible","src",20,"Friday","1",781,"daily","PUSH",1,0,1,1,1,1,1,1,1,1,0,"","","","","","349bd74d61cdf216264fa5101f4299d202f2c2af",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-06-28 00:28:07",1,0.2,"less_day",0
28638436,"julianhyde/optiq",1,1,1,20,22,"faible","src",20,"Friday","1",781,"daily","PUSH",1,0,1,1,1,1,1,1,1,1,0,"","","","","","1de5cf80a50fbf21b0bfb3cf43ed98f3edd51b72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-06-28 00:35:18",1,0.3,"less_day",0
28643109,"julianhyde/optiq",1,1,8,24,24,"moy","other",23,"Friday","1",781,"daily","PUSH",1,0,1,1,0,0,0,0,0,0,0.962280729377004,"","","","","","71ebeaa81ad92845a145191cd31f2d6448d14a50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-06-28 03:12:23",NA,0.5,"",0
28643110,"julianhyde/optiq",2,19,19,60,66,"moy","test+src+other",23,"Friday","1",781,"daily","PUSH",1,0,1,1,1,0,1,0,1,0,0.643521669065751,"1","0","1","1","0","3da850a1988eb47665b9f2e7ce4096a8f0adb1d7",1,1,0,1,0,0,0,0,0,1,0,0,"2014-06-28 03:12:23",1,0.4,"less_day",1
28687176,"julianhyde/optiq",1,1,2,2,201,"faible","test+src+other",19,"Saturday","1",782,"daily","PUSH",1,0,1,1,1,1,1,1,1,1,0.111020028233903,"1","0","1","1","0","2db452ecbe0837d9f8207b5862558c031ac4aa7b",0,0,0,0,0,0,0,0,0,1,0,0,"2014-06-28 23:58:11",0,0,"",1
28687402,"julianhyde/optiq",1,1,10,239,272,"moy","test+src+other",20,"Saturday","1",782,"daily","PUSH",1,0,1,1,1,1,1,1,1,1,0.642911613935247,"","","","","","4f80e6424db2054a9163f2f96331d23acd7a4735",1,1,0,0,0,0,0,0,0,1,0,0,"2014-06-29 00:08:14",1,0.5,"less_day",0
28720149,"julianhyde/optiq",1,1,3,39,132,"faible","test+src+other",13,"Sunday","1",782,"daily","PUSH",1,0,1,1,0,1,0,1,0,1,0.49415389427083,"1","0","1","1","0","8a91027c157e8c34ee1944faabb1353ec866d72a",1,1,0,0,0,0,0,0,0,1,0,0,"2014-06-29 17:25:37",1,0.67,"less_day",1
28798717,"julianhyde/optiq",1,1,1,4,9,"faible","src",13,"Monday","1",783,"daily","UNKNOWN",1,0,1,1,0,0,0,0,0,0,0,"1","0","1","1","1","89475fe8f6302550accf68bf3f975cdcd999e825",1,1,0,0,0,0,0,0,0,1,0,0,"2014-06-30 17:44:26",0,0.5,"day_ago",1
28843349,"julianhyde/optiq",1,1,1,8,3,"faible","src",2,"Tuesday","1",784,"daily","UNKNOWN",1,0,1,1,0,0,0,0,0,0,0,"1","0","1","1","1","1299a39340df5b9f347eb839071aa39bb0653598",1,1,0,0,0,0,0,0,0,1,0,0,"2014-07-01 06:48:54",0,0.4,"week_ago",1
28919041,"julianhyde/optiq",1,1,3,18,124,"faible","test+src",19,"Tuesday","1",785,"daily","UNKNOWN",1,0,1,1,0,0,0,0,0,0,0.585630606320389,"1","0","1","1","0","0bf85206bbac8078d9298c7e68737d32405fa596",1,0,0,0,1,0,0,0,0,1,0,0,"2014-07-01 23:41:53",0,0.33,"week_ago",1
29025662,"julianhyde/optiq",1,1,23,255,303,"faible","src",0,"Thursday","1",786,"daily","UNKNOWN",1,0,1,1,0,0,0,0,0,0,0.863558076072525,"1","0","1","1","0","e5188ec851e2513f7cd915b7917d605071567426",1,1,0,0,0,0,0,0,0,1,0,0,"2014-07-03 04:32:32",0,0.29,"week_ago",1
29026038,"julianhyde/optiq",1,1,1,1,2,"faible","src",0,"Thursday","0",238,"other","UNKNOWN",1,0,1,1,0,0,0,0,0,0,0,"1","0","1","1","1","c34c144874cb9acbbafa8ff51f35a4f31cadee98",0,0,0,0,0,0,0,0,0,0,0,0,"2014-07-03 04:46:48",0,0.25,"week_ago",1
29032383,"julianhyde/optiq",1,1,9,32,43,"faible","test+src",3,"Thursday","1",786,"daily","UNKNOWN",1,0,1,1,0,0,0,0,0,0,0.809861023093441,"1","0","1","1","0","899a62936d5f4fbde6d877e503d03929fdfc7ae0",1,1,0,0,0,0,0,0,0,1,0,0,"2014-07-03 07:19:45",0,0.22,"week_ago",1
29105598,"julianhyde/optiq",8,19,49,404,857,"faible","test+src+other",19,"Thursday","0",787,"daily","UNKNOWN",1,0,1,1,0,0,0,0,0,0,0.217323722270494,"1","0","1","1","1","f12be81412495e325c3b214a70482d86d4766d8d",1,1,0,0,1,0,0,0,0,1,0,0,"2014-07-03 23:45:37",0,0.2,"week_ago",1
29120679,"julianhyde/optiq",1,1,3,31,42,"faible","test+src+other",3,"Friday","1",787,"daily","UNKNOWN",1,0,1,1,0,0,0,0,0,0,0.723637588543423,"1","0","1","1","0","69b3a5347a59339d5fad0448976985d0a09b5f85",1,1,0,0,0,0,0,0,0,1,0,0,"2014-07-04 07:21:26",0,0.2,"week_ago",1
29224993,"julianhyde/optiq",1,1,11,39,166,"faible","test+src",20,"Saturday","1",789,"daily","UNKNOWN",1,0,1,1,0,0,0,0,0,0,0.844569654239593,"1","0","1","1","1","679b31a2114267dbd17d2ef706b5dbd65d1d7df4",1,1,0,0,0,0,0,0,0,1,0,0,"2014-07-06 00:19:27",0,0.1,"week_ago",1
29368569,"julianhyde/optiq",1,1,13,322,1522,"faible","test+src",19,"Monday","1",791,"daily","UNKNOWN",1,0,1,1,0,0,0,0,0,0,0.377979447920795,"1","0","1","1","1","c54a5684403d4114d67f75eaf404fabe7972b97c",1,1,0,0,0,0,0,0,0,1,0,0,"2014-07-07 23:22:10",0,0,"more_week_ago",1
29460353,"julianhyde/optiq",1,1,5,19,27,"faible","test+src",18,"Tuesday","1",792,"daily","UNKNOWN",1,0,1,1,0,1,0,1,0,1,0.790445344661471,"1","0","1","1","0","58ddf6bff360948618743359eb29201bc36428a5",1,1,0,0,0,0,0,0,0,1,0,0,"2014-07-08 23:00:23",0,0,"more_week_ago",1
29564039,"julianhyde/optiq",1,1,7,52,12,"faible","test+src",22,"Wednesday","1",793,"daily","UNKNOWN",1,0,1,1,0,0,0,0,0,0,0.810343544592787,"1","0","1","1","1","0db3489f5101efd0caa86c7f728a77cac6330c70",1,0,0,0,0,0,0,0,0,1,0,0,"2014-07-10 02:06:06",0,0,"more_week_ago",1
29631160,"julianhyde/optiq",1,1,2,2,48,"faible","test+src+other",15,"Thursday","1",115,"other","UNKNOWN",1,0,1,1,0,0,0,0,0,0,0.327444919154476,"1","0","1","1","0","f247bc610f8b8ddfd657e7a4dc00ea2e32fe9bed",0,1,0,0,0,0,0,0,0,1,0,0,"2014-07-10 19:12:03",0,0,"more_week_ago",1
29845426,"julianhyde/optiq",1,1,2,0,14,"faible","src",17,"Sunday","1",797,"daily","UNKNOWN",1,0,1,1,0,0,0,0,0,0,0.591672778582327,"1","0","1","1","0","33e80e21ff1fcf546883c3b0589d6a07ef7b0b4b",1,0,0,0,0,0,0,0,0,1,0,0,"2014-07-13 21:32:29",0,0,"more_week_ago",1
29858397,"julianhyde/optiq",1,1,2,0,14,"faible","src",17,"Sunday","1",797,"daily","UNKNOWN",1,0,1,1,0,0,0,0,0,0,0.591672778582327,"1","0","1","1","0","33e80e21ff1fcf546883c3b0589d6a07ef7b0b4b",1,0,0,0,0,0,0,0,0,1,0,0,"2014-07-14 04:32:14",0,0,"more_week_ago",1
29920674,"julianhyde/optiq",1,1,4,25,81,"faible","test+src+other",16,"Monday","1",798,"daily","UNKNOWN",1,0,1,1,0,0,0,0,0,0,0.696492186114318,"1","0","1","1","0","aacbeb5246eb4ee52a1ea89094a4564153be66f3",0,1,0,0,0,0,0,0,0,1,0,0,"2014-07-14 20:04:04",0,0,"more_week_ago",1
30095147,"julianhyde/optiq",1,1,1,0,15,"faible","test+other",13,"Wednesday","1",799,"daily","UNKNOWN",1,0,1,1,0,0,0,0,0,0,0,"","","","","","a1baf68dfdca88a0cca5dba87bc84bb23ffd877f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-16 17:53:57",0,0,"more_week_ago",0
30234618,"julianhyde/optiq",1,1,2,5,123,"faible","test+src",0,"Friday","1",801,"daily","UNKNOWN",1,0,1,1,0,1,0,1,0,1,0.960004207284091,"1","0","1","1","0","4b9fba42e40a1c745de27e089dea1ca7749af160",1,0,0,0,0,0,0,0,0,1,0,0,"2014-07-18 04:15:45",0,0,"more_week_ago",1
30312165,"julianhyde/optiq",1,1,13,86,389,"faible","test+src+other",18,"Friday","1",802,"daily","UNKNOWN",1,0,1,1,0,0,0,0,0,0,0.777819743909124,"1","0","1","1","1","b059c093d99ef18e74b0d4f873ef3c74b1e18517",1,1,0,0,0,0,0,0,0,1,0,0,"2014-07-18 22:26:53",0,0,"more_week_ago",1
30585747,"julianhyde/optiq",1,1,5,19,24,"faible","test+src+other",15,"Tuesday","1",806,"daily","UNKNOWN",1,0,1,1,0,0,0,0,0,0,0.882487351355786,"1","0","1","1","1","4ef9f46757528d21c510eb8bd171fa04ba86e36d",1,1,0,0,0,0,0,0,0,1,0,0,"2014-07-22 19:22:08",0,0,"more_week_ago",1
30591922,"julianhyde/optiq",1,1,7,63,58,"faible","src",16,"Tuesday","1",806,"daily","UNKNOWN",1,0,1,1,0,0,0,0,0,0,0.924931442647502,"1","0","1","1","1","1781c85810abce4220c295bd4bc64a013d546996",1,1,0,0,0,0,0,0,0,1,0,0,"2014-07-22 20:32:01",0,0,"more_week_ago",1
